#K-Path      Energy-Level
# NKPTS & NBANDS: 180  96
# Band-Index    1
   0.69667    -19.416295
   0.69714    -19.416295
   0.69761    -19.416295
   0.69807    -19.416295
   0.69854    -19.416295
   0.69854    -19.416295
   0.73578    -19.416243
   0.77302    -19.416157
   0.81026    -19.416209
   0.84750    -19.416236
   0.88475    -19.416375
   0.92199    -19.416402
   0.95923    -19.416452
   0.99647    -19.416351
   1.03371    -19.416409
   1.07095    -19.416512
   1.10819    -19.416479
   1.14543    -19.416591
   1.18267    -19.416620
   1.21991    -19.416754
   1.25715    -19.416806
   1.29440    -19.416838
   1.33164    -19.416844
   1.36888    -19.416991
   1.40612    -19.416997
   1.40612    -19.416997
   1.45111    -19.417110
   1.49611    -19.417447
   1.54110    -19.418101
   1.58609    -19.419048
   1.63109    -19.420210
   1.67608    -19.421491
   1.72108    -19.422995
   1.76607    -19.424531
   1.81106    -19.426094
   1.85606    -19.427779
   1.90105    -19.429389
   1.94604    -19.430868
   1.99104    -19.432319
   2.03603    -19.433626
   2.08103    -19.434634
   2.12602    -19.435500
   2.17101    -19.436230
   2.21601    -19.436609
   2.26100    -19.436726
   2.26100    -19.436726
   2.26147    -19.436726
   2.26193    -19.436726
   2.26240    -19.436726
   2.26287    -19.436726
   2.26333    -19.436726
   2.26380    -19.436726
   2.26427    -19.436726
   2.26473    -19.436726
   2.26520    -19.436726
   2.26567    -19.436726
   2.26613    -19.436726
   2.26660    -19.436726
   2.26707    -19.436727
   2.26753    -19.436727
   2.26800    -19.436727
   2.26847    -19.436737
   2.26893    -19.436737
   2.26940    -19.436737
   2.26987    -19.436737
   2.26987    -19.436737
   2.30617    -19.436757
   2.34246    -19.436874
   2.37876    -19.436856
   2.41506    -19.436923
   2.45136    -19.436925
   2.48766    -19.437091
   2.52396    -19.437219
   2.56026    -19.437436
   2.59655    -19.437523
   2.63285    -19.437676
   2.66915    -19.437811
   2.70545    -19.437942
   2.74175    -19.438099
   2.77805    -19.438292
   2.81435    -19.438508
   2.85065    -19.438547
   2.88694    -19.438606
   2.92324    -19.438564
   2.95954    -19.438578
   2.95954    -19.438578
   2.98479    -19.438441
   3.01004    -19.437981
   3.03529    -19.437335
   3.06054    -19.436300
   3.08579    -19.435057
   3.11104    -19.433656
   3.13629    -19.432107
   3.16154    -19.430431
   3.18679    -19.428569
   3.21204    -19.426801
   3.23729    -19.425060
   3.26254    -19.423376
   3.28779    -19.421837
   3.31304    -19.420452
   3.33829    -19.419264
   3.36354    -19.418223
   3.38879    -19.417561
   3.41404    -19.417120
   3.43929    -19.416997
   3.43929    -19.437384
   3.47565    -19.437227
   3.51201    -19.436857
   3.54838    -19.436158
   3.58474    -19.435258
   3.62110    -19.434131
   3.65746    -19.432932
   3.69382    -19.431431
   3.73019    -19.429845
   3.76655    -19.428172
   3.80291    -19.426454
   3.83927    -19.424826
   3.87563    -19.423207
   3.91200    -19.421650
   3.94836    -19.420295
   3.98472    -19.419107
   4.02108    -19.418177
   4.05744    -19.417558
   4.09381    -19.417121
   4.13017    -19.416997
   4.13017    -19.416997
   4.15633    -19.417011
   4.18250    -19.416929
   4.20867    -19.416849
   4.23483    -19.416868
   4.26100    -19.416831
   4.28716    -19.416839
   4.31333    -19.416800
   4.33949    -19.416789
   4.36566    -19.416758
   4.39183    -19.416703
   4.41799    -19.416706
   4.44416    -19.416692
   4.47032    -19.416570
   4.49649    -19.416541
   4.52265    -19.416555
   4.54882    -19.416481
   4.57499    -19.416526
   4.60115    -19.416482
   4.62732    -19.416433
 
 
# Band-Index    4
   4.62732    -19.416287
   4.60115    -19.416335
   4.57499    -19.416380
   4.54882    -19.416335
   4.52265    -19.416409
   4.49649    -19.416395
   4.47032    -19.416424
   4.44416    -19.416546
   4.41799    -19.416560
   4.39183    -19.416557
   4.36566    -19.416612
   4.33949    -19.416642
   4.31333    -19.416654
   4.28716    -19.416693
   4.26100    -19.416685
   4.23483    -19.416722
   4.20867    -19.416702
   4.18250    -19.416783
   4.15633    -19.416865
   4.13017    -19.416851
   4.13017    -19.416851
   4.09381    -19.416975
   4.05744    -19.417411
   4.02108    -19.418029
   3.98472    -19.418958
   3.94836    -19.420146
   3.91200    -19.421500
   3.87563    -19.423058
   3.83927    -19.424677
   3.80291    -19.426304
   3.76655    -19.428022
   3.73019    -19.429695
   3.69382    -19.431281
   3.65746    -19.432783
   3.62110    -19.433982
   3.58474    -19.435109
   3.54838    -19.436010
   3.51201    -19.436710
   3.47565    -19.437080
   3.43929    -19.437238
   3.43929    -19.416851
   3.41404    -19.416973
   3.38879    -19.417414
   3.36354    -19.418075
   3.33829    -19.419116
   3.31304    -19.420303
   3.28779    -19.421687
   3.26254    -19.423226
   3.23729    -19.424910
   3.21204    -19.426651
   3.18679    -19.428418
   3.16154    -19.430281
   3.13629    -19.431957
   3.11104    -19.433507
   3.08579    -19.434908
   3.06054    -19.436151
   3.03529    -19.437187
   3.01004    -19.437833
   2.98479    -19.438294
   2.95954    -19.438431
   2.95954    -19.438431
   2.92324    -19.438418
   2.88694    -19.438460
   2.85065    -19.438401
   2.81435    -19.438361
   2.77805    -19.438145
   2.74175    -19.437952
   2.70545    -19.437795
   2.66915    -19.437665
   2.63285    -19.437529
   2.59655    -19.437377
   2.56026    -19.437289
   2.52396    -19.437072
   2.48766    -19.436944
   2.45136    -19.436778
   2.41506    -19.436776
   2.37876    -19.436710
   2.34246    -19.436727
   2.30617    -19.436610
   2.26987    -19.436590
   2.26987    -19.436590
   2.26940    -19.436590
   2.26893    -19.436590
   2.26847    -19.436590
   2.26800    -19.436580
   2.26753    -19.436580
   2.26707    -19.436580
   2.26660    -19.436580
   2.26613    -19.436580
   2.26567    -19.436580
   2.26520    -19.436580
   2.26473    -19.436580
   2.26427    -19.436580
   2.26380    -19.436580
   2.26333    -19.436580
   2.26287    -19.436580
   2.26240    -19.436580
   2.26193    -19.436580
   2.26147    -19.436580
   2.26100    -19.436580
   2.26100    -19.436580
   2.21601    -19.436462
   2.17101    -19.436082
   2.12602    -19.435352
   2.08103    -19.434486
   2.03603    -19.433478
   1.99104    -19.432170
   1.94604    -19.430719
   1.90105    -19.429240
   1.85606    -19.427629
   1.81106    -19.425945
   1.76607    -19.424382
   1.72108    -19.422846
   1.67608    -19.421342
   1.63109    -19.420061
   1.58609    -19.418899
   1.54110    -19.417953
   1.49611    -19.417299
   1.45111    -19.416963
   1.40612    -19.416851
   1.40612    -19.416851
   1.36888    -19.416845
   1.33164    -19.416698
   1.29440    -19.416692
   1.25715    -19.416660
   1.21991    -19.416608
   1.18267    -19.416474
   1.14543    -19.416445
   1.10819    -19.416332
   1.07095    -19.416366
   1.03371    -19.416263
   0.99647    -19.416205
   0.95923    -19.416305
   0.92199    -19.416255
   0.88475    -19.416229
   0.84750    -19.416090
   0.81026    -19.416063
   0.77302    -19.416011
   0.73578    -19.416097
   0.69854    -19.416148
   0.69854    -19.416148
   0.69807    -19.416148
   0.69761    -19.416148
   0.69714    -19.416148
   0.69667    -19.416148
   0.69621    -19.416148
   0.69574    -19.416148
   0.69527    -19.416148
   0.69481    -19.416148
   0.69434    -19.416148
   0.69387    -19.416148
   0.69341    -19.416148
   0.69294    -19.416129
   0.69247    -19.416129
   0.69201    -19.416129
   0.69154    -19.416129
   0.69107    -19.416129
   0.69061    -19.416129
   0.69014    -19.416129
   0.68968    -19.416129
   0.68968    -19.416129
   0.65338    -19.416098
   0.61708    -19.415959
   0.58078    -19.416023
   0.54448    -19.416159
   0.50818    -19.416200
   0.47188    -19.416173
   0.43558    -19.416189
   0.39929    -19.416268
   0.36299    -19.416326
   0.32669    -19.416366
   0.29039    -19.416390
   0.25409    -19.416438
   0.21779    -19.416470
   0.18149    -19.416503
   0.14519    -19.416597
   0.10890    -19.416649
   0.07260    -19.416745
   0.03630    -19.416796
   0.00000    -19.416851
 
 
# Band-Index    5
   0.00000    -13.465522
   0.03630    -13.464746
   0.07260    -13.462790
   0.10890    -13.459294
   0.14519    -13.454833
   0.18149    -13.449076
   0.21779    -13.442626
   0.25409    -13.435837
   0.29039    -13.428629
   0.32669    -13.421316
   0.36299    -13.413924
   0.39929    -13.406920
   0.43558    -13.400131
   0.47188    -13.393949
   0.50818    -13.388490
   0.54448    -13.383570
   0.58078    -13.379678
   0.61708    -13.376674
   0.65338    -13.374906
   0.68968    -13.374200
   0.68968    -13.374200
   0.69014    -13.374197
   0.69061    -13.374194
   0.69107    -13.374191
   0.69154    -13.374188
   0.69201    -13.374186
   0.69247    -13.374183
   0.69294    -13.374181
   0.69341    -13.374184
   0.69387    -13.374182
   0.69434    -13.374181
   0.69481    -13.374179
   0.69527    -13.374178
   0.69574    -13.374177
   0.69621    -13.374176
   0.69667    -13.374175
   0.69714    -13.374174
   0.69761    -13.374174
   0.69807    -13.374174
   0.69854    -13.374173
   0.69854    -13.374173
   0.73578    -13.374414
   0.77302    -13.375169
   0.81026    -13.376450
   0.84750    -13.378465
   0.88475    -13.381484
   0.92199    -13.385390
   0.95923    -13.390317
   0.99647    -13.396063
   1.03371    -13.402815
   1.07095    -13.410324
   1.10819    -13.418367
   1.14543    -13.426865
   1.18267    -13.435496
   1.21991    -13.443624
   1.25715    -13.450696
   1.29440    -13.457071
   1.33164    -13.461698
   1.36888    -13.464770
   1.40612    -13.465522
   1.40612    -13.465522
   1.45111    -13.463709
   1.49611    -13.458174
   1.54110    -13.449263
   1.58609    -13.437705
   1.63109    -13.423939
   1.67608    -13.408764
   1.72108    -13.392980
   1.76607    -13.377847
   1.81106    -13.363571
   1.85606    -13.351006
   1.90105    -13.340056
   1.94604    -13.330693
   1.99104    -13.323132
   2.03603    -13.317288
   2.08103    -13.312451
   2.12602    -13.308776
   2.17101    -13.306545
   2.21601    -13.305221
   2.26100    -13.304561
   2.26100    -13.304561
   2.26147    -13.304561
   2.26193    -13.304561
   2.26240    -13.304561
   2.26287    -13.304561
